/* DATA DESCRIPTION:
Citation:	Diekmann, Bernhard; Fütterer, Dieter K; Grobe, Hannes; Hillenbrand, Claus-Dieter; Kuhn, Gerhard; Michels, Klaus; Petschick, Rainer; Pirrung, Michael (1996): Ice rafted debris (> 2 mm gravel) distribution in sediment core PS1768-8 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.50243, 
	In supplement to: Diekmann, B et al. (2004): Terrigenous sediment supply in the polar to temperate South Atlantic: land-ocean links of environmental changes during the late Quaternary. In: Wefer, G; Mulitza, S & Ratmeyer, V (eds.), The South Atlantic in the Late Quaternary: Reconstruction of Material Budget and Current Systems. Springer-Verlag, Berlin, Heidelberg, New York, 375-399, hdl:10013/epic.15597.d001
Project(s):	Paleoenvironmental Reconstructions from Marine Sediments @ AWI (AWI_Paleo) (URI: https://www.awi.de/en/science/geosciences/marine-geology.html)
Coverage:	LATITUDE: -52.593000 * LONGITUDE: 4.476000
	DATE/TIME START: 1989-11-11T21:40:00 * DATE/TIME END: 1989-11-11T21:40:00
	MINIMUM DEPTH, sediment/rock: 0.01 m * MAXIMUM DEPTH, sediment/rock: 9.00 m
Event(s):	PS1768-8 (PS16/311) (URI: https://store.pangaea.de/Images/Cores/PS-stationcard/PS1768-stationcard.pdf) * LATITUDE: -52.593000 * LONGITUDE: 4.476000 * DATE/TIME: 1989-11-11T21:40:00 * ELEVATION: -3299.0 m * Recovery: 8.96 m * LOCATION: Shona Ridge * CAMPAIGN: ANT-VIII/3 (PS16) (URI: https://doi.org/10.2312/BzP_0074_1990) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: Gravity corer (Kiel type) (SL) * COMMENT: 10 core sections: 0-0.44, 0.44-1.06, 1.06-2.06, 2.06-3.06, 3.06-4.06, 4.06-5.04, 5.04-6.04, 6.04-7.04, 7.04-8.04, 8.04-8.96 m
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE
	Ice rafted debris, number of gravel [#/10 cm**3] (IRD gravel) * PI: Grobe, Hannes (https://orcid.org/0000-0002-4133-2218, hannes.grobe@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/hannes-grobe.html) * METHOD/DEVICE: IRD-Counting (Grobe, 1987) (URI: hdl:10013/epic.29587.d001)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	900 data points
*/
Depth sed [m]	IRD gravel [#/10 cm**3]
0.01	0
0.02	1
0.03	0
0.04	1
0.05	0
0.06	0
0.07	0
0.08	0
0.09	1
0.10	0
0.11	2
0.12	0
0.13	0
0.14	0
0.15	0
0.16	2
0.17	0
0.18	1
0.19	0
0.20	0
0.21	0
0.22	1
0.23	0
0.24	0
0.25	0
0.26	2
0.27	0
0.28	0
0.29	0
0.30	0
0.31	1
0.32	0
0.33	0
0.34	0
0.35	0
0.36	0
0.37	0
0.38	1
0.39	1
0.40	0
0.41	0
0.42	0
0.43	1
0.44	0
0.45	0
0.46	0
0.47	1
0.48	0
0.49	0
0.50	0
0.51	0
0.52	1
0.53	0
0.54	0
0.55	0
0.56	0
0.57	1
0.58	0
0.59	0
0.60	1
0.61	0
0.62	0
0.63	0
0.64	0
0.65	0
0.66	0
0.67	1
0.68	0
0.69	1
0.70	0
0.71	0
0.72	0
0.73	0
0.74	0
0.75	0
0.76	0
0.77	0
0.78	0
0.79	0
0.80	0
0.81	0
0.82	1
0.83	0
0.84	0
0.85	0
0.86	0
0.87	0
0.88	0
0.89	0
0.90	0
0.91	0
0.92	0
0.93	0
0.94	0
0.95	1
0.96	0
0.97	0
0.98	0
0.99	0
1.00	0
1.01	0
1.02	1
1.03	0
1.04	0
1.05	1
1.06	0
1.07	1
1.08	0
1.09	0
1.10	1
1.11	1
1.12	1
1.13	1
1.14	1
1.15	0
1.16	1
1.17	0
1.18	1
1.19	0
1.20	0
1.21	1
1.22	0
1.23	0
1.24	1
1.25	1
1.26	2
1.27	0
1.28	0
1.29	1
1.30	0
1.31	0
1.32	0
1.33	0
1.34	0
1.35	0
1.36	0
1.37	1
1.38	1
1.39	0
1.40	2
1.41	0
1.42	1
1.43	0
1.44	1
1.45	1
1.46	0
1.47	0
1.48	1
1.49	1
1.50	1
1.51	0
1.52	0
1.53	1
1.54	0
1.55	0
1.56	1
1.57	0
1.58	1
1.59	1
1.60	0
1.61	0
1.62	1
1.63	1
1.64	1
1.65	2
1.66	2
1.67	1
1.68	3
1.69	2
1.70	3
1.71	3
1.72	2
1.73	1
1.74	2
1.75	4
1.76	4
1.77	5
1.78	8
1.79	11
1.80	4
1.81	5
1.82	7
1.83	5
1.84	10
1.85	20
1.86	5
1.87	6
1.88	7
1.89	4
1.90	3
1.91	6
1.92	11
1.93	7
1.94	7
1.95	3
1.96	5
1.97	6
1.98	7
1.99	3
2.00	5
2.01	7
2.02	3
2.03	4
2.04	5
2.05	3
2.06	2
2.07	2
2.08	3
2.09	5
2.10	8
2.11	8
2.12	3
2.13	5
2.14	9
2.15	10
2.16	12
2.17	8
2.18	17
2.19	9
2.20	8
2.21	9
2.22	17
2.23	24
2.24	7
2.25	4
2.26	4
2.27	4
2.28	3
2.29	2
2.30	3
2.31	4
2.32	4
2.33	4
2.34	6
2.35	2
2.36	4
