/* DATA DESCRIPTION:																																																							
Citation:	Esper, Oliver; Benz, Verena; Gersonde, Rainer (2016): Diatoms abundance in sediment core PS75/072-4 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.860929, 																																																						
	In: Benz, Verena; Esper, Oliver; Gersonde, Rainer (2016): Diatoms abundance in sediment core of the Pacific sector of the Southern Ocean [dataset publication series]. PANGAEA, https://doi.org/10.1594/PANGAEA.861051																																																						
Related to:	Benz, Verena (2016): Late quaternary paleoceanographic history of the Pacific sector of the Southern Ocean based on diatom evidence [dissertation]. University of Bremen, Germany, 183 pp																																																						
	Benz, Verena; Esper, Oliver; Gersonde, Rainer; Lamy, Frank; Tiedemann, Ralf (in prep.): Last glacial to early Holocene sea surface temperature and sea ice variability in the Pacific sector of the Southern Ocean.																																																						
Project(s):	Paleoenvironmental Reconstructions from Marine Sediments @ AWI (AWI_Paleo) (URI: https://www.awi.de/en/science/geosciences/marine-geology.html)																																																						
Coverage:	LATITUDE: -57.558500 * LONGITUDE: -151.219500																																																						
	DATE/TIME START: 2009-12-29T21:50:00 * DATE/TIME END: 2009-12-29T21:50:00																																																						
	MINIMUM DEPTH, sediment/rock: 0.015 m * MAXIMUM DEPTH, sediment/rock: 7.615 m																																																						
Event(s):	PS75/072-4 * LATITUDE: -57.558500 * LONGITUDE: -151.219500 * DATE/TIME: 2009-12-29T21:50:00 * ELEVATION: -3099.0 m * Recovery: 9.61 m * LOCATION: South Pacific Ocean * CAMPAIGN: ANT-XXVI/2 (PS75 BIPOMAC) (URI: https://doi.org/10.2312/BzPM_0632_2011) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: Gravity corer (Kiel type) (SL)																																																						
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Esper, Oliver (https://orcid.org/0000-0002-4342-3471, oliver.esper@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/oliver-esper.html)																																																						
	Actinocyclus curvatulus [%] (A. curvatulus) * PI: Esper, Oliver (https://orcid.org/0000-0002-4342-3471, oliver.esper@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/oliver-esper.html) * METHOD/DEVICE: Counting, diatoms																																																						
	Actinocyclus actinochilus [%] (A. actinochilus) * PI: Esper, Oliver (https://orcid.org/0000-0002-4342-3471, oliver.esper@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/oliver-esper.html) * METHOD/DEVICE: Counting, diatoms																																																						
	Asteromphalus hookeri [%] (A. hookeri) * PI: Esper, Oliver (https://orcid.org/0000-0002-4342-3471, oliver.esper@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/oliver-esper.html) * METHOD/DEVICE: Counting, diatoms																																																						
	Asteromphalus hyalinus [%] (A. hyalinus) * PI: Esper, Oliver (https://orcid.org/0000-0002-4342-3471, oliver.esper@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/oliver-esper.html) * METHOD/DEVICE: Counting, diatoms																																																						
	Asteromphalus parvulus [%] (A. parvulus) * PI: Esper, Oliver (https://orcid.org/0000-0002-4342-3471, oliver.esper@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/oliver-esper.html) * METHOD/DEVICE: Counting, diatoms																																																						
	Azpeitia tabularis var. egregius [%] (A. tabularis var. egregius) * PI: Esper, Oliver (https://orcid.org/0000-0002-4342-3471, oliver.esper@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/oliver-esper.html) * METHOD/DEVICE: Counting, diatoms																																																						
