/* DATA DESCRIPTION:																	
Citation:	Ronge, Thomas A (2019): Radiocarbon ages of sediment core PS2606-6 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.906357, 																
	In: Ronge, TA (2019): Stable and radiogenic isotope record for sediments cores from the Southern Indian Ocean [dataset publication series]. PANGAEA, https://doi.org/10.1594/PANGAEA.906365																
Project(s):	Paleoenvironmental Reconstructions from Marine Sediments @ AWI (AWI_Paleo) (URI: https://www.awi.de/en/science/geosciences/marine-geology.html)																
	Priority Programme 1158 Antarctic Research with Comparable Investigations in Arctic Sea Ice Areas (SPP1158) (URI: https://gepris.dfg.de/gepris/projekt/5472008)																
Funding:	German Research Foundation (DFG) (URI: http://www.dfg.de/en/), grant/award no. 275572713: The ventilation and circulation of the southern Indian Ocean on glacial / interglacial timescales (URI: https://gepris.dfg.de/gepris/projekt/275572713)																
	German Research Foundation (DFG) (URI: http://www.dfg.de/en/), grant/award no. 5472008: Priority Programme 1158 Antarctic Research with Comparable Investigations in Arctic Sea Ice Areas (URI: https://gepris.dfg.de/gepris/projekt/5472008)																
Coverage:	LATITUDE: -53.231660 * LONGITUDE: 40.801660																
	DATE/TIME START: 1994-05-11T00:00:00 * DATE/TIME END: 1994-05-11T00:00:00																
	MINIMUM DEPTH, sediment/rock: 0.070 m * MAXIMUM DEPTH, sediment/rock: 4.190 m																
Event(s):	PS2606-6 (PS30/144) (URI: https://store.pangaea.de/Images/Cores/PS-stationcard/PS2606-stationcard.pdf) * LATITUDE: -53.231660 * LONGITUDE: 40.801660 * DATE/TIME: 1994-05-11T00:00:00 * ELEVATION: -2545.0 m * Penetration: 15 m * Recovery: 12.19 m * LOCATION: Conrad Rise * CAMPAIGN: ANT-XI/4 (PS30) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: Piston corer (BGR type) (KL) * COMMENT: 13 core sections: 0-0.26, 0.26-1.26, 1.26-2.25, 2.25-3.24, 3.24-4.24, 4.24-5.24, 5.24-6.24, 6.24-7.24, 7.24-8.19, 8.19-9.19, 9.19-10.19, 10.19-11.19, 11.19-12.19 m																
Parameter(s):	Laboratory code/label (Lab label) * PI: Ronge, Thomas A (https://orcid.org/0000-0003-2625-719X, ronge@iodp.tamu.edu)																
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Ronge, Thomas A (https://orcid.org/0000-0003-2625-719X, ronge@iodp.tamu.edu)																
	Depth, top/min [m] (Depth top) * PI: Ronge, Thomas A (https://orcid.org/0000-0003-2625-719X, ronge@iodp.tamu.edu)																
	Depth, bottom/max [m] (Depth bot) * PI: Ronge, Thomas A (https://orcid.org/0000-0003-2625-719X, ronge@iodp.tamu.edu)																
	Age, dated material (Dated material) * PI: Ronge, Thomas A (https://orcid.org/0000-0003-2625-719X, ronge@iodp.tamu.edu)																
	Process (Process) * PI: Ronge, Thomas A (https://orcid.org/0000-0003-2625-719X, ronge@iodp.tamu.edu)																
	Fraction modern carbon (F14C) * PI: Ronge, Thomas A (https://orcid.org/0000-0003-2625-719X, ronge@iodp.tamu.edu)																
	Fraction modern carbon, error [±] (F14C e) * PI: Ronge, Thomas A (https://orcid.org/0000-0003-2625-719X, ronge@iodp.tamu.edu)																
	Age, dated [ka] (Age dated) * PI: Ronge, Thomas A (https://orcid.org/0000-0003-2625-719X, ronge@iodp.tamu.edu) * METHOD/DEVICE: Age, 14C AMS (URI: https://doi.org/10.1146/annurev.ns.30.120180.002253)																
	Age, dated standard error [±] (Age std e) * PI: Ronge, Thomas A (https://orcid.org/0000-0003-2625-719X, ronge@iodp.tamu.edu) * METHOD/DEVICE: Age, 14C AMS (URI: https://doi.org/10.1146/annurev.ns.30.120180.002253)																
	δ13C [‰ PDB] (δ13C) * PI: Ronge, Thomas A (https://orcid.org/0000-0003-2625-719X, ronge@iodp.tamu.edu)																
	Calendar age [ka BP] (Cal age) * PI: Ronge, Thomas A (https://orcid.org/0000-0003-2625-719X, ronge@iodp.tamu.edu) * METHOD/DEVICE: Age, 14C calibrated * COMMENT: mean																
	Calendar age, standard error [±] (Cal age std e) * PI: Ronge, Thomas A (https://orcid.org/0000-0003-2625-719X, ronge@iodp.tamu.edu) * METHOD/DEVICE: Age, 14C calibrated																
	Δ14C [‰] (Δ14C) * PI: Ronge, Thomas A (https://orcid.org/0000-0003-2625-719X, ronge@iodp.tamu.edu)																
	ΔΔ14C [‰] (ΔΔ14C) * PI: Ronge, Thomas A (https://orcid.org/0000-0003-2625-719X, ronge@iodp.tamu.edu)																
	Δ14C, standard deviation [±] (Δ14C std dev) * PI: Ronge, Thomas A (https://orcid.org/0000-0003-2625-719X, ronge@iodp.tamu.edu)																
	Code (Code) * PI: Ronge, Thomas A (https://orcid.org/0000-0003-2625-719X, ronge@iodp.tamu.edu) * COMMENT: used (Y/N)																
	Comment (Comment) * PI: Ronge, Thomas A (https://orcid.org/0000-0003-2625-719X, ronge@iodp.tamu.edu)																
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)																
Size:	557 data points																
*/																	
Lab label	Depth sed [m]	Depth top [m]	Depth bot [m]	Dated material	Process	F14C	F14C e [±]	Age dated [ka]	Age std e [±]	δ13C [‰ PDB]	Cal age [ka BP]	Cal age std e [±]	Δ14C [‰]	ΔΔ14C [‰]	Δ14C std dev [±]	Code	Comment
1487.1.1	0.07	0.06	0.08	Neogloboquadrina pachyderma sinistral	Gas	0.8272	0.6205	2.4	0.105	1.09	1.613	0.256	-98.394			Y	
1487.2.1	0.07	0.06	0.08	Mixed benthic foraminifera	Gas	0.8002	0.6178	2.626	0.105	1.08	1.613		-123.462	-104.961	12.84	Y	
