/* DATA DESCRIPTION:
Citation:	Vorrath, Maria-Elena; Müller, Juliane; Cárdenas, Paola; Mieruch, Sebastian; Esper, Oliver; Opel, Thomas; Lembke-Jene, Lester; Etourneau, Johan; Vieht-Hillebrand, Andrea; Lahajnar, Niko; Lange, Carina Beatriz; Leventer, Amy; Evangelinos, Dimitris; Escutia, Carlota; Mollenhauer, Gesine (2023): Diatom counts from the sediment core PS97/72-1 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.952278, 
	In: Vorrath, M-E et al. (2023): Radiocarbon ages, geochemistry, biomarkers and diatoms from the marine sediment core PS97/72-1, Bransfield Strait, Western Antarctic Peninsula [dataset bundled publication]. PANGAEA, https://doi.org/10.1594/PANGAEA.952279
Keyword(s):	Antarctica; Biomarker; Holocene; IPSO25; Marine Sediment Core; Sea ice
Coverage:	LATITUDE: -62.006500 * LONGITUDE: -56.064330
	DATE/TIME START: 2016-03-10T04:13:00 * DATE/TIME END: 2016-03-10T04:13:00
	MINIMUM DEPTH, sediment/rock: 0.00 m * MAXIMUM DEPTH, sediment/rock: 10.00 m
Event(s):	PS97/072-1 (URI: https://store.pangaea.de/Images/Cores/PS-stationcard/PS97_072-stationcard.pdf) * LATITUDE: -62.006500 * LONGITUDE: -56.064330 * DATE/TIME: 2016-03-10T04:13:00 * ELEVATION: -1992.9 m * Recovery: 15.83 m * LOCATION: Scotia Sea * CAMPAIGN: PS97 (ANT-XXXI/3) (URI: https://doi.org/10.2312/BzPM_0701_2016) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: Piston corer (PC)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Vorrath, Maria-Elena (https://orcid.org/0000-0001-7208-1186, maria-elena.vorrath@awi.de)
	Achnanthes brevipes [%] (A. brevipes) * PI: Vorrath, Maria-Elena (https://orcid.org/0000-0001-7208-1186, maria-elena.vorrath@awi.de)
	Amphora copulata [%] (A. copulata) * PI: Vorrath, Maria-Elena (https://orcid.org/0000-0001-7208-1186, maria-elena.vorrath@awi.de)
	Amphora coffeaeformis [%] (A. coffeaeformis) * PI: Vorrath, Maria-Elena (https://orcid.org/0000-0001-7208-1186, maria-elena.vorrath@awi.de)
	Cocconeis costata [%] (C. costata) * PI: Vorrath, Maria-Elena (https://orcid.org/0000-0001-7208-1186, maria-elena.vorrath@awi.de)
	Cocconeis dalmannii [%] (C. dalmannii) * PI: Vorrath, Maria-Elena (https://orcid.org/0000-0001-7208-1186, maria-elena.vorrath@awi.de)
